ID,Name,Department,Salary,Hire Date
1,Employee 1,HR,"$80,188.00",2019-05-19
2,Employee 2,HR,"$81,471.00",2014-10-08
3,Employee 3,HR,"$100,334.00",2018-10-19
4,Employee 4,Sales,"$42,439.00",2020-01-31
5,Employee 5,Engineering,"$40,199.00",2018-12-23
6,Employee 6,Sales,"$48,500.00",2021-05-25
7,Employee 7,Sales,"$110,581.00",2017-04-08
8,Employee 8,Finance,"$114,205.00",2013-08-16
9,Employee 9,Marketing,"$50,856.00",2017-01-25
10,Employee 10,Finance,"$57,673.00",2016-05-19
11,Employee 11,Marketing,"$107,667.00",2013-02-03
12,Employee 12,Analytics,"$84,174.00",2019-05-11
13,Employee 13,Engineering,"$60,459.00",2010-07-02
14,Employee 14,Sales,"$79,421.00",2018-02-03
15,Employee 15,Marketing,"$52,710.00",2010-02-25
16,Employee 16,HR,"$70,962.00",2014-12-23
17,Employee 17,Analytics,"$59,356.00",2019-12-28
18,Employee 18,HR,"$67,392.00",2022-11-12
19,Employee 19,Sales,"$50,108.00",2019-08-10
20,Employee 20,Engineering,"$79,109.00",2021-09-12
21,Employee 21,Marketing,"$49,201.00",2020-07-02
22,Employee 22,Analytics,"$65,601.00",2012-01-26
23,Employee 23,Marketing,"$65,051.00",2013-09-05
24,Employee 24,Finance,"$83,896.00",2009-12-25
25,Employee 25,Marketing,"$54,875.00",2009-07-25
26,Employee 26,Sales,"$108,044.00",2014-12-18
27,Employee 27,HR,"$52,552.00",2010-02-10
28,Employee 28,Marketing,"$103,875.00",2014-04-14
29,Employee 29,Analytics,"$61,894.00",2017-05-05
30,Employee 30,Sales,"$66,541.00",2021-03-12
31,Employee 31,Sales,"$87,575.00",2015-04-03
32,Employee 32,Engineering,"$46,491.00",2016-08-22
33,Employee 33,Engineering,"$113,725.00",2022-09-13
34,Employee 34,Finance,"$84,913.00",2011-08-19
35,Employee 35,Sales,"$43,683.00",2018-04-03
36,Employee 36,Marketing,"$90,673.00",2021-07-30
37,Employee 37,Analytics,"$67,611.00",2018-06-10
38,Employee 38,Finance,"$52,267.00",2014-01-28
39,Employee 39,Sales,"$78,095.00",2010-09-20
40,Employee 40,Finance,"$81,285.00",2010-08-22
41,Employee 41,Engineering,"$44,137.00",2017-05-27
42,Employee 42,Finance,"$115,518.00",2014-11-28
43,Employee 43,Finance,"$83,834.00",2023-02-15
44,Employee 44,Engineering,"$53,851.00",2009-12-31
45,Employee 45,HR,"$94,889.00",2019-08-20
46,Employee 46,Marketing,"$70,976.00",2014-08-17
47,Employee 47,Engineering,"$45,141.00",2010-03-03
48,Employee 48,Analytics,"$63,981.00",2014-06-09
49,Employee 49,Analytics,"$94,219.00",2020-03-12
50,Employee 50,Finance,"$87,154.00",2012-09-03
51,Employee 51,HR,"$40,136.00",2013-08-18
52,Employee 52,Sales,"$44,435.00",2012-04-16
53,Employee 53,HR,"$95,280.00",2013-12-13
54,Employee 54,HR,"$115,635.00",2010-09-08
55,Employee 55,HR,"$75,150.00",2013-09-30
56,Employee 56,Engineering,"$93,791.00",2014-01-20
57,Employee 57,Sales,"$97,100.00",2017-05-19
58,Employee 58,Finance,"$64,204.00",2015-03-12
59,Employee 59,Marketing,"$88,023.00",2014-11-11
60,Employee 60,Sales,"$94,176.00",2020-06-05
61,Employee 61,Marketing,"$108,636.00",2022-03-05
62,Employee 62,Analytics,"$56,122.00",2020-11-10
63,Employee 63,Engineering,"$43,046.00",2021-01-16
64,Employee 64,Analytics,"$61,572.00",2013-12-28
65,Employee 65,Sales,"$87,374.00",2013-12-15
66,Employee 66,Analytics,"$41,751.00",2022-07-18
67,Employee 67,Sales,"$98,147.00",2011-09-11
68,Employee 68,Finance,"$110,673.00",2020-11-23
69,Employee 69,HR,"$54,199.00",2019-12-24
70,Employee 70,Analytics,"$103,466.00",2019-11-14
71,Employee 71,Sales,"$75,260.00",2017-11-10
72,Employee 72,HR,"$87,336.00",2010-03-22
73,Employee 73,Marketing,"$82,865.00",2016-08-16
74,Employee 74,Engineering,"$42,073.00",2015-04-01
75,Employee 75,Sales,"$67,773.00",2023-03-02
76,Employee 76,Sales,"$105,147.00",2015-07-18
77,Employee 77,Sales,"$91,573.00",2019-06-03
78,Employee 78,HR,"$52,727.00",2014-12-09
79,Employee 79,Analytics,"$54,266.00",2010-10-16
80,Employee 80,Finance,"$98,666.00",2020-08-03
81,Employee 81,HR,"$105,795.00",2015-07-25
82,Employee 82,Sales,"$50,568.00",2022-09-03
83,Employee 83,HR,"$95,717.00",2009-08-08
84,Employee 84,Engineering,"$114,406.00",2011-08-14
85,Employee 85,Engineering,"$115,602.00",2018-06-15
86,Employee 86,Analytics,"$51,117.00",2021-06-15
87,Employee 87,Sales,"$73,682.00",2019-02-28
88,Employee 88,Engineering,"$41,631.00",2014-02-08
89,Employee 89,Marketing,"$97,419.00",2015-09-29
90,Employee 90,Finance,"$107,692.00",2012-05-01
91,Employee 91,HR,"$99,881.00",2009-10-18
92,Employee 92,Analytics,"$78,587.00",2022-09-23
93,Employee 93,HR,"$89,268.00",2014-08-22
94,Employee 94,Sales,"$57,888.00",2018-03-12
95,Employee 95,HR,"$93,008.00",2019-06-28
96,Employee 96,Marketing,"$75,745.00",2022-04-12
97,Employee 97,Sales,"$40,178.00",2021-05-04
98,Employee 98,Analytics,"$93,448.00",2017-07-14
99,Employee 99,Engineering,"$56,456.00",2019-01-10
100,Employee 100,HR,"$116,227.00",2016-06-02
101,Employee 101,Marketing,"$58,624.00",2022-08-05
102,Employee 102,Engineering,"$62,568.00",2020-08-02
103,Employee 103,Engineering,"$101,062.00",2018-12-28
104,Employee 104,Finance,"$44,527.00",2020-08-26
105,Employee 105,Engineering,"$61,441.00",2017-03-05
106,Employee 106,Engineering,"$41,011.00",2020-07-29
107,Employee 107,HR,"$119,852.00",2012-01-28
108,Employee 108,Engineering,"$58,212.00",2021-04-09
109,Employee 109,Marketing,"$73,860.00",2010-09-12
110,Employee 110,Marketing,"$108,111.00",2016-10-24
111,Employee 111,Sales,"$117,166.00",2013-08-29
112,Employee 112,HR,"$93,252.00",2021-02-26
113,Employee 113,Finance,"$72,900.00",2021-11-18
114,Employee 114,Finance,"$76,041.00",2015-10-02
115,Employee 115,Sales,"$82,418.00",2012-04-24
116,Employee 116,Engineering,"$82,202.00",2021-02-01
117,Employee 117,Sales,"$100,537.00",2018-05-18
118,Employee 118,Sales,"$65,506.00",2021-08-21
119,Employee 119,Sales,"$99,167.00",2014-05-03
120,Employee 120,Marketing,"$85,419.00",2011-05-17
121,Employee 121,Marketing,"$119,670.00",2017-02-09
122,Employee 122,Analytics,"$58,231.00",2022-09-16
123,Employee 123,Marketing,"$53,019.00",2015-05-03
124,Employee 124,Sales,"$69,051.00",2020-04-16
125,Employee 125,Sales,"$105,074.00",2020-04-25
126,Employee 126,Engineering,"$86,431.00",2013-04-22
127,Employee 127,Finance,"$87,331.00",2012-08-23
128,Employee 128,Sales,"$49,529.00",2010-02-24
129,Employee 129,Sales,"$73,166.00",2012-04-24
130,Employee 130,HR,"$61,695.00",2015-09-25
131,Employee 131,HR,"$93,516.00",2017-05-16
132,Employee 132,Engineering,"$42,823.00",2010-10-05
133,Employee 133,HR,"$118,533.00",2011-02-12
134,Employee 134,Marketing,"$40,486.00",2015-03-14
135,Employee 135,Analytics,"$53,186.00",2022-04-17
136,Employee 136,HR,"$67,722.00",2019-06-06
137,Employee 137,Marketing,"$41,827.00",2015-03-24
138,Employee 138,Sales,"$50,710.00",2011-11-12
139,Employee 139,Finance,"$92,238.00",2018-08-23
140,Employee 140,Sales,"$75,939.00",2011-12-22
141,Employee 141,Analytics,"$102,783.00",2020-08-03
142,Employee 142,Finance,"$103,600.00",2012-05-09
143,Employee 143,Finance,"$62,377.00",2019-09-17
144,Employee 144,HR,"$117,828.00",2011-09-08
145,Employee 145,Marketing,"$93,721.00",2010-01-26
146,Employee 146,Marketing,"$87,404.00",2016-05-28
147,Employee 147,Finance,"$53,484.00",2012-02-27
148,Employee 148,Sales,"$61,031.00",2017-06-08
149,Employee 149,Analytics,"$103,079.00",2019-09-06
150,Employee 150,Finance,"$44,141.00",2012-05-25
151,Employee 151,HR,"$100,588.00",2022-03-16
152,Employee 152,HR,"$80,410.00",2013-07-07
153,Employee 153,Finance,"$65,123.00",2021-09-14
154,Employee 154,Finance,"$107,950.00",2020-11-10
155,Employee 155,Marketing,"$42,133.00",2013-01-25
156,Employee 156,Sales,"$91,068.00",2012-05-11
157,Employee 157,HR,"$71,150.00",2022-11-07
158,Employee 158,Sales,"$53,327.00",2016-05-01
159,Employee 159,Engineering,"$51,598.00",2011-03-12
160,Employee 160,Finance,"$62,365.00",2020-10-15
161,Employee 161,Marketing,"$89,122.00",2018-08-11
162,Employee 162,Engineering,"$83,815.00",2018-10-20
163,Employee 163,Engineering,"$82,415.00",2022-08-28
164,Employee 164,Finance,"$49,297.00",2011-12-29
165,Employee 165,Sales,"$42,830.00",2011-06-25
166,Employee 166,Sales,"$66,462.00",2010-03-11
167,Employee 167,Engineering,"$96,541.00",2014-01-19
168,Employee 168,HR,"$88,611.00",2018-04-02
169,Employee 169,Finance,"$98,302.00",2013-07-31
170,Employee 170,Marketing,"$44,641.00",2022-07-03
171,Employee 171,Sales,"$89,913.00",2016-04-09
172,Employee 172,Finance,"$70,597.00",2018-07-20
173,Employee 173,Sales,"$94,319.00",2018-04-13
174,Employee 174,Finance,"$61,594.00",2009-12-26
175,Employee 175,Analytics,"$63,411.00",2017-11-20
176,Employee 176,HR,"$73,467.00",2010-01-17
177,Employee 177,Sales,"$95,580.00",2012-05-11
178,Employee 178,HR,"$99,311.00",2011-08-22
179,Employee 179,Marketing,"$95,851.00",2020-06-28
180,Employee 180,HR,"$115,766.00",2017-04-13
181,Employee 181,Marketing,"$81,110.00",2017-11-22
182,Employee 182,Analytics,"$82,137.00",2017-09-01
183,Employee 183,Marketing,"$115,903.00",2021-11-22
184,Employee 184,HR,"$43,265.00",2012-04-22
185,Employee 185,Finance,"$47,259.00",2011-08-09
186,Employee 186,HR,"$51,766.00",2022-09-17
187,Employee 187,Finance,"$82,743.00",2019-08-23
188,Employee 188,HR,"$40,335.00",2012-05-17
189,Employee 189,Sales,"$63,675.00",2011-07-13
190,Employee 190,Analytics,"$110,024.00",2009-07-13
191,Employee 191,Engineering,"$70,624.00",2018-01-11
192,Employee 192,HR,"$41,750.00",2017-01-01
193,Employee 193,Analytics,"$112,351.00",2018-03-15
194,Employee 194,Engineering,"$68,140.00",2016-03-29
195,Employee 195,Sales,"$50,442.00",2010-04-19
196,Employee 196,Analytics,"$119,466.00",2010-12-09
197,Employee 197,Engineering,"$103,945.00",2012-06-19
198,Employee 198,HR,"$95,956.00",2013-04-20
199,Employee 199,Marketing,"$91,765.00",2021-10-31
200,Employee 200,Sales,"$49,854.00",2021-12-01
201,Employee 201,HR,"$102,231.00",2010-08-12
202,Employee 202,HR,"$111,767.00",2010-12-28
203,Employee 203,Engineering,"$71,686.00",2019-02-18
204,Employee 204,HR,"$90,475.00",2017-05-28
205,Employee 205,Analytics,"$56,663.00",2012-03-17
206,Employee 206,Analytics,"$73,312.00",2018-10-15
207,Employee 207,Finance,"$92,265.00",2018-05-15
208,Employee 208,Marketing,"$111,381.00",2019-08-06
209,Employee 209,Engineering,"$44,703.00",2012-10-25
210,Employee 210,Analytics,"$42,623.00",2019-08-05
211,Employee 211,Analytics,"$116,166.00",2012-08-01
212,Employee 212,Finance,"$74,578.00",2021-11-26
213,Employee 213,HR,"$79,669.00",2010-08-04
214,Employee 214,HR,"$62,273.00",2018-01-05
215,Employee 215,Analytics,"$70,562.00",2020-06-20
216,Employee 216,Sales,"$76,183.00",2019-07-25
217,Employee 217,Engineering,"$66,524.00",2016-09-09
218,Employee 218,Engineering,"$57,780.00",2021-07-27
219,Employee 219,Marketing,"$82,204.00",2013-06-08
220,Employee 220,Engineering,"$119,394.00",2010-09-23
221,Employee 221,Marketing,"$47,172.00",2018-07-22
222,Employee 222,Engineering,"$50,730.00",2022-05-02
223,Employee 223,Analytics,"$111,970.00",2015-04-14
224,Employee 224,Engineering,"$72,388.00",2017-03-26
225,Employee 225,HR,"$68,441.00",2012-05-24
226,Employee 226,Marketing,"$49,410.00",2021-07-04
227,Employee 227,Marketing,"$95,105.00",2017-04-24
228,Employee 228,Marketing,"$83,772.00",2016-08-24
229,Employee 229,Engineering,"$70,089.00",2014-02-21
230,Employee 230,Engineering,"$118,539.00",2017-01-05
231,Employee 231,Sales,"$83,747.00",2016-10-09
232,Employee 232,Finance,"$119,228.00",2018-01-04
233,Employee 233,Sales,"$86,833.00",2020-01-09
234,Employee 234,Engineering,"$76,926.00",2010-10-30
235,Employee 235,Engineering,"$111,216.00",2017-05-20
236,Employee 236,Sales,"$86,522.00",2011-04-18
237,Employee 237,Finance,"$107,486.00",2013-10-01
238,Employee 238,Marketing,"$71,678.00",2022-08-02
239,Employee 239,Finance,"$112,939.00",2020-10-07
240,Employee 240,Marketing,"$112,047.00",2023-02-24
241,Employee 241,Marketing,"$95,988.00",2019-04-21
242,Employee 242,Analytics,"$89,806.00",2010-12-31
243,Employee 243,Sales,"$46,796.00",2010-11-28
244,Employee 244,Marketing,"$80,592.00",2020-03-10
245,Employee 245,Analytics,"$113,213.00",2013-04-15
246,Employee 246,Sales,"$52,885.00",2011-02-22
247,Employee 247,Engineering,"$76,024.00",2018-07-30
248,Employee 248,Engineering,"$71,046.00",2010-08-09
249,Employee 249,Marketing,"$105,099.00",2019-09-27